"","taxon","total_area_t0","median_latitude_t0","mean_latitude_t0","sd_latitude_t0","ssp30_contraction","ssp30_expansion","ssp30_stable","ssp30_total","ssp50_contraction","ssp50_expansion","ssp50_stable","ssp50_total","ssp70_contraction","ssp70_expansion","ssp70_stable","ssp70_total","median_latitude_ssp30_tssp30","median_latitude_ssp50_tssp50","median_latitude_ssp70_tssp70","mean_latitude_ssp30_tssp30","mean_latitude_ssp50_tssp50","mean_latitude_ssp70_tssp70","sd_latitude_ssp30_tssp30","sd_latitude_ssp50_tssp50","sd_latitude_ssp70_tssp70","ssp"
"1","fus",59162.9194489099,47.3541666666667,47.3789081733136,2.19848352557648,12307.4591552444,103899.877266135,46855.4602936655,150755.3375598,13868.9663112621,144461.973993334,45293.9531376478,189755.927130981,13708.1844251721,176197.769620295,45454.7350237378,221652.504644033,52.1875,53.1041666666667,53.4375,51.8911906647891,52.764775271913,53.1179682345636,3.77350012814085,4.00409179777485,3.98802975273395,"ssp245"
"2","cor",150800.701051972,41.1041666666667,41.2925410421128,1.35403254755877,127319.226221068,259634.190043235,23481.4748309049,283115.66487414,150314.344555978,255745.207792491,486.35649599478,256231.564288486,150800.701051972,246554.782103124,0,246554.782103124,44.1875,45.3125,46.2708333333333,44.0142863644639,45.2096194023967,46.2294583584792,1.57108238829867,1.66182241169958,1.75946481599957,"ssp245"
"3","ion",285207.037623088,40.6041666666667,40.7374310312024,1.53604922395625,138315.653721963,409426.737077432,146891.383901125,556318.120978557,218753.811607802,585005.687476665,66453.2260152858,651458.913491951,256036.720245041,857828.026991637,29170.317378047,886998.344369684,43.7291666666667,47.3958333333333,49.5625,44.1474484188555,47.142689031959,48.9475583864119,2.90797933295413,3.39203740346133,2.82672293652315,"ssp245"
"4","ang",319716.400915648,32.0625,32.3879087373509,1.60082754066654,275567.205688132,12673.3480600089,44149.1952275161,56822.5432875249,287514.124565032,23494.0480763479,32202.2763506164,55696.3244269643,293645.158689112,37068.5845619911,26071.2422265361,63139.8267885273,35.2291666666667,35.7708333333333,46.9375,36.9225652610442,40.2694550156128,42.6386243880176,4.4988541558455,6.07384751106964,6.34492777882669,"ssp245"
"5","chl",609700.331663591,40.3541666666667,39.3985026183228,3.46964234808331,439663.593323954,916498.089454771,170036.738339637,1086534.82779441,516760.959937923,1337946.35004239,92939.3717256677,1430885.72176806,555196.923675168,1700836.65063617,54503.4079884225,1755340.05862459,44.5208333333333,45.8125,47.2708333333333,44.3796573478476,46.00446576069,47.4347863079706,2.35681807915144,2.75711702062699,2.92012995389727,"ssp245"
"6","fus",59162.9194489099,47.3541666666667,47.3789081733136,2.19848352557648,13219.7079928036,113805.048109822,45943.2114561063,159748.259565928,18206.521896441,161668.142568456,40956.3975524689,202624.540120925,24424.4115088701,233516.267372732,34738.5079400398,268254.775312772,52.5208333333333,53.6041666666667,55.2708333333333,52.1765580726803,53.3348700887199,54.8071330360031,3.83325667299964,3.86894392092242,3.80657121080176,"ssp585"
"7","cor",150800.701051972,41.1041666666667,41.2925410421128,1.35403254755877,134827.071393008,273846.047564432,15973.6296589645,289819.677223397,150800.701051972,222019.891482475,0,222019.891482475,150800.701051972,181103.092777683,0,181103.092777683,44.3541666666667,46.3958333333333,50.4791666666667,44.2263911040227,46.2992358322178,50.3660858662422,1.56659672246338,1.77541904972094,2.4564248815805,"ssp585"
"8","ion",285207.037623088,40.6041666666667,40.7374310312024,1.53604922395625,156043.41641889,416452.372286156,129163.621204198,545615.993490354,258376.51846467,913865.847208545,26830.5191584176,940696.366366962,285207.037623088,1169934.61803341,0,1169934.61803341,44.0208333333333,49.7291666666667,50.7708333333333,44.5265798952194,49.164055881151,50.8008975871864,3.08363657403119,2.77065292039239,2.5110998225845,"ssp585"
"9","ang",319716.400915648,32.0625,32.3879087373509,1.60082754066654,278302.72853349,13441.0083105004,41413.6723821583,54854.6806926587,295045.835407507,30910.9239572938,24670.565508141,55581.4894654348,307447.816480405,53010.0910247437,12268.5844352433,65278.675459987,35.2708333333333,46.8958333333333,47.7291666666667,37.4503264684629,42.4212424328415,47.1901070659838,4.904680975317,6.34668298415358,6.27880418410359,"ssp585"
"10","chl",609700.331663591,40.3541666666667,39.3985026183228,3.46964234808331,454536.019095959,1045322.94647803,155164.312567632,1200487.25904566,553678.275948714,1867470.40813838,56022.0557148771,1923492.46385326,601455.072712369,2577459.77806433,8245.25895122198,2585705.03701556,44.7708333333333,47.6041666666667,50.5625,44.7984376786372,47.6547885000966,50.5238075727457,2.52781739986674,2.95727871664893,3.40483644824611,"ssp585"
